trade_area_id,n_periods,mean_clo,std_clo,iqr_clo,cv_clo,slope_clo,shock_cnt,label_persistent_high,label_spiky,label_trending_up
3110515,5,0.04618060917309487,0.02217882936051919,0.020158102766798414,0.480262815013725,-0.010460770909687889,1,False,False,False
3111055,5,0.0460832677980386,0.015019434218681378,0.02488479262672811,0.3259194700450613,-0.0007918746034195956,0,True,False,False
3130082,5,0.04504682184764744,0.045704494372696934,0.07058823529411765,1.014599754168536,-0.023173183503420857,0,False,False,False
3110086,5,0.04484384195717272,0.03789990999487873,0.030703070307030702,0.8451530542604788,0.020630784532831903,1,False,False,True
3110629,5,0.04434865900383141,0.04744474395187835,0.06896551724137931,1.0698123690229158,-0.02490421455938697,0,False,False,False
3110368,5,0.044004728774174606,0.04313972668961488,0.06460263286201852,0.9803429742971765,0.023110474081938844,0,False,False,True
3110440,5,0.04341105349668717,0.02373371623398993,0.014488333079152052,0.5467205774170194,-0.006106722247640352,3,False,True,False
3110185,5,0.04282608695652174,0.04420616523923535,0.07246376811594203,1.0322251781750387,-0.024166666666666666,0,False,False,False
3110221,5,0.04282525931191913,0.015386925686240794,0.017899842863974856,0.35929556372723015,0.00823478000154392,0,True,False,True
3130292,5,0.04206042882269186,0.03912477089102895,0.026103464641670623,0.9302038040544391,0.011875854993160056,3,False,True,True
3130017,5,0.04109318104917521,0.008140108182993704,0.005924920850293988,0.1980890253605004,0.0038942428570379133,1,True,False,True
3130192,5,0.04099422523768746,0.04817124044019086,0.0784313725490196,1.1750738100522828,-0.008398656215005598,0,False,False,False
3110799,5,0.04055461136329411,0.05000860227718199,0.06521739130434782,1.2331175320408734,0.009500247402276101,1,False,False,True
3110448,5,0.040500004566444224,0.03707669329637237,0.05497963717141799,0.915473805331168,-0.00632621131958295,0,False,False,False
3110875,5,0.04032038763361874,0.016109300690665348,0.010847457627118647,0.399532386371047,-0.006210844908882375,2,True,True,False
3110004,5,0.040217595905290504,0.028227592487328527,0.031179775280898873,0.7018717019734955,-0.0015400284927833325,1,False,False,False
3110467,5,0.03997338759746726,0.019486018766841588,0.019625372498935714,0.48747479105514274,0.006550156790768051,1,False,False,True
3111001,5,0.039821184683414654,0.027415548417159395,0.02212721063882951,0.6884664189455381,-8.94151005055327e-05,1,False,False,False
3110533,5,0.03883779106127376,0.026751747875434186,0.024358974358974363,0.6888071423327959,-0.008947234463400093,2,False,True,False
